id,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado
6678,18,2019-09-07,17:01,Avai,Flamengo,4-5-1,4-2-3-1,A. Valentim do Carmo Neto,J. Pinheiro de Jesus,Flamengo,Estádio Nacional de Brasília,0,3,SC,RJ
6679,18,2019-09-07,17:01,Fortaleza,Fluminense,4-3-3,4-1-4-1,J. Mannarino,O. de Oliveira Filho,Fluminense,Arena Castelão,0,1,CE,RJ
6680,18,2019-09-07,19:00,Internacional,Sao Paulo,4-2-3-1,4-2-3-1,O. Hellmann,A. Stival,Internacional,Estádio José Pinheiro Borda,1,0,RS,SP
6681,18,2019-09-07,21:00,Goias,Palmeiras,4-2-3-1,4-2-3-1,N. da Silveira Júnior,L. Venker de Menezes,Palmeiras,Estádio do Governo do Estado de Goiás (Serra Dourada),1,2,GO,SP
6682,18,2019-09-08,11:00,Cruzeiro,Gremio,4-2-3-1,4-2-3-1,R. Ceni,Renato Gaúcho,Gremio,Estádio Raimundo Sampaio,1,4,MG,RS
6683,18,2019-09-08,16:00,Santos,Athletico-PR,3-4-3,4-2-3-1,J. Sampaoli Moya,T. Retzalff Nunes,ausente,Estádio Urbano Caldeira,1,1,SP,PR
6684,18,2019-09-08,16:00,Botafogo,Atletico-MG,4-1-4-1,4-1-4-1,E. de Souza Barroca,R. Marques Santana,Botafogo-RJ,Estádio Nilton Santos,2,1,RJ,MG
6685,18,2019-09-08,19:00,CSA,Chapecoense,4-1-2-1-2,4-2-3-1,A. Fucks,E. Hartkopp,CSA,Estádio Rei Pelé,2,0,AL,SC
6665,16,2019-09-10,21:00,Palmeiras,Fluminense,4-2-3-1,4-1-4-1,L. Venker de Menezes,O. de Oliveira Filho,Palmeiras,Allianz Parque,3,0,SP,RJ
6686,19,2019-09-14,17:01,Flamengo,Santos,4-2-3-1,4-3-3,J. Pinheiro de Jesus,J. Sampaoli Moya,Flamengo, Maracanã,1,0,RJ,SP
6687,19,2019-09-14,19:00,Chapecoense,Vasco,4-1-4-1,4-2-3-1,E. Hartkopp,V. Luxemburgo da Silva,Vasco,Arena Condá,1,2,SC,RJ
6688,19,2019-09-14,19:00,Palmeiras,Cruzeiro,4-2-3-1,4-2-3-1,L. Venker de Menezes,R. Ceni,Palmeiras,Allianz Parque,1,0,SP,MG
6689,19,2019-09-14,21:00,Ceara,Botafogo,4-2-3-1,4-1-4-1,E. Alves Moreira,E. de Souza Barroca,ausente,Arena Castelão,0,0,CE,RJ
6691,19,2019-09-15,11:02,Atletico-MG,Internacional,4-1-4-1,4-2-3-1,R. Marques Santana,O. Hellmann,Internacional,Estádio Raimundo Sampaio,1,3,MG,RS
6690,19,2019-09-15,11:21,Athletico-PR,Avai,4-1-4-1,4-1-4-1,T. Retzalff Nunes,A. Valentim do Carmo Neto,Avai,Estádio Joaquim Américo Guimarães,0,1,PR,SC
6693,19,2019-09-15,16:00,Gremio,Goias,4-2-3-1,4-3-3,Renato Gaúcho,N. da Silveira Júnior,Gremio,Arena do Grêmio,3,0,RS,GO
6694,19,2019-09-15,16:00,Fluminense,Corinthians,4-2-3-1,4-1-4-1,O. de Oliveira Filho,F. Carille,Fluminense,Estádio Nacional de Brasília,1,0,RJ,SP
6692,19,2019-09-15,16:02,Bahia,Fortaleza,4-2-3-1,4-2-3-1,R. Machado Marques,J. Mannarino,ausente,Itaipava Arena Fonte Nova,1,1,BA,CE
6695,19,2019-09-15,19:01,Sao Paulo,CSA,4-2-3-1,4-2-3-1,A. Stival,A. Fucks,ausente, Morumbi,1,1,SP,AL
6696,20,2019-09-21,11:01,Botafogo,Sao Paulo,4-1-4-1,4-1-4-1,E. de Souza Barroca,A. Stival,Sao Paulo,Estádio Nilton Santos,1,2,RJ,SP
6697,20,2019-09-21,17:00,Cruzeiro,Flamengo,4-2-3-1,4-2-3-1,R. Ceni,J. Pinheiro de Jesus,Flamengo, Mineirão,1,2,MG,RJ
6698,20,2019-09-21,19:03,Corinthians,Bahia,4-1-4-1,4-1-4-1,F. Carille,R. Machado Marques,Corinthians,Neo Química Arena,2,1,SP,BA
6699,20,2019-09-21,21:00,Santos,Gremio,4-3-3,4-2-3-1,J. Sampaoli Moya,Renato Gaúcho,Gremio,Estádio Urbano Caldeira,0,3,SP,RS
6700,20,2019-09-22,11:00,Internacional,Chapecoense,4-3-3,4-1-4-1,O. Hellmann,M. dos Santos Gonçalves,Internacional,Estádio José Pinheiro Borda,1,0,RS,SC
6703,20,2019-09-22,14:14,Vasco,Athletico-PR,4-1-4-1,4-1-4-1,V. Luxemburgo da Silva,T. Retzalff Nunes,ausente,Estádio Vasco da Gama,1,1,RJ,PR
6701,20,2019-09-22,16:00,Fortaleza,Palmeiras,4-2-3-1,4-2-3-1,J. Mannarino,L. Venker de Menezes,Palmeiras,Arena Castelão,0,1,CE,SP
6702,20,2019-09-22,16:01,CSA,Ceara,4-2-3-1,4-2-3-1,A. Fucks,E. Alves Moreira,CSA,Estádio Rei Pelé,1,0,AL,CE
6704,20,2019-09-22,19:00,Goias,Fluminense,4-4-1-1,4-2-3-1,N. da Silveira Júnior,O. de Oliveira Filho,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),3,0,GO,RJ
6705,20,2019-09-23,20:00,Avai,Atletico-MG,4-1-4-1,4-2-3-1,A. Valentim do Carmo Neto,R. Marques Santana,Avai,  Ressacada,1,0,SC,MG
6706,21,2019-09-25,19:30,Ceara,Cruzeiro,4-2-3-1,4-1-4-1,E. Alves Moreira,R. Ceni,ausente,Arena Castelão,0,0,CE,MG
6707,21,2019-09-25,21:30,Bahia,Botafogo,4-1-4-1,4-4-1-1,R. Machado Marques,E. de Souza Barroca,Bahia,Itaipava Arena Fonte Nova,2,0,BA,RJ
6708,21,2019-09-25,21:30,Flamengo,Internacional,4-2-3-1,4-3-3,J. Pinheiro de Jesus,O. Hellmann,Flamengo, Maracanã,3,1,RJ,RS
6709,21,2019-09-25,21:31,Sao Paulo,Goias,4-2-3-1,4-4-1-1,A. Stival,N. da Silveira Júnior,Goias, Morumbi,0,1,SP,GO
6710,21,2019-09-26,19:15,Palmeiras,CSA,4-2-3-1,4-2-3-1,L. Venker de Menezes,A. Fucks,Palmeiras,Estádio Municipal Paulo Machado de Carvalho,6,2,SP,AL
6711,21,2019-09-26,20:00,Fluminense,Santos,4-1-4-1,3-4-3,O. de Oliveira Filho,J. Sampaoli Moya,ausente, Maracanã,1,1,RJ,SP
6712,21,2019-09-26,20:00,Gremio,Avai,4-2-3-1,4-1-4-1,Renato Gaúcho,A. Valentim do Carmo Neto,Gremio,Arena do Grêmio,6,1,RS,SC
6713,21,2019-09-26,21:31,Athletico-PR,Fortaleza,4-1-4-1,4-2-3-1,T. Retzalff Nunes,J. Mannarino,Athletico-PR,Estádio Joaquim Américo Guimarães,4,1,PR,CE
6716,22,2019-09-28,19:00,Flamengo,Sao Paulo,4-2-3-1,4-1-4-1,J. Pinheiro de Jesus,F. Diniz Silva,ausente, Maracanã,0,0,RJ,SP
